"","date","portfolio","RDRM","asset","type","sector","name","ticker","shares","price","currency","value_eur","weight","duurzaam"
"1",2025-09-30,"DZ50","RM","Obligaties","Staatsobligatie","Staatsobligaties","0,5% Nederland 22-32","NL0.5_732",408722,87.105,"EUR",356448.4181,0.217909788312224,1
"2",2025-09-30,"DZ50","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 25-35","NL2.5_735",103303,96.925,"EUR",100671.25275,0.0615439717556117,1
"3",2025-09-30,"DZ50","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 12-33","NL2.5_133",308704,99.177,"EUR",311618.54608,0.190503668868592,1
"4",2025-09-30,"DZ50","RD","Aandelen","ETF","None","Amundi MSCI Europe ESG Selec UCITS ETF Acc","LEAD_GY",1291,35.575,"EUR",45927.325,0.0280770320761782,1
"5",2025-09-30,"DZ50","RD","Aandelen","ETF","None","Amundi MSCI World ESG Selec UCITS ETF Acc","MWOP_GY",2818,94.45,"EUR",266160.1,0.162713279406079,1
"6",2025-09-30,"DZ50","RD","Aandelen","ETF","Health Care","Xtrackers MSCI World Health Care","XDWH_GY",1537,44.6,"EUR",68550.2,0.0419072124106604,NA
"7",2025-09-30,"DZ50","RD","Aandelen","ETF","None","NT Wld SC Low Carbon Eq Index FGR Feeder B","NTSCLBE_NA",73,1298.0275,"EUR",94756.0075,0.0579277687517853,1
"8",2025-09-30,"DZ50","RD","Aandelen","ETF","None","SPDR S&P 500 Leaders UCITS ETF (Acc)","SPPY_GY",5982,40.485,"EUR",242181.27,0.14805415482046,1
"9",2025-09-30,"DZ50","RD","Aandelen","ETF","Information Technology","SPDR MSCI World Tech ETF","WTCH_NA",704,184.44,"EUR",129845.76,0.0793794014451254,NA
"10",2025-09-30,"DZ50","RM","Cash","CASH","Cash","Cash","CASH",19602.51,1,"EUR",19602.51,0.0119837221532847,NA
"11",2025-09-30,"RD100","RD","Aandelen","ETF","Health Care","Xtrackers MSCI World Health Care","XDWH_GY",6627,44.6,"EUR",295564.2,0.0752151192364765,NA
"12",2025-09-30,"RD100","RD","Aandelen","ETF","None","iShares Core MSCI World","IWDA_NA",13882,107.22,"EUR",1488428.04,0.378774873626491,NA
"13",2025-09-30,"RD100","RD","Aandelen","ETF","None","iShares STOXX Europe 600","SXXPIEX_GY",4020,55.28,"EUR",222225.6,0.056551926794238,NA
"14",2025-09-30,"RD100","RD","Aandelen","ETF","None","NT Wld SC Low Carbon Eq Index FGR Feeder B","NTSCLBE_NA",231,1298.0275,"EUR",299844.3525,0.0763043315992653,1
"15",2025-09-30,"RD100","RD","Aandelen","ETF","None","SPDR S&P 500 UCITS ETF","SPY5_GY",1988,565.96,"EUR",1125128.48,0.28632247335623,NA
"16",2025-09-30,"RD100","RD","Aandelen","ETF","Information Technology","SPDR MSCI World Tech ETF","WTCH_NA",2468,184.44,"EUR",455197.92,0.115838676771395,NA
"17",2025-09-30,"RD100","RM","Cash","CASH","Cash","Cash","CASH",43196.35,1,"EUR",43196.35,0.0109925986159033,NA
"18",2025-09-30,"RD30","RM","Obligaties","Staatsobligatie","Staatsobligaties","0,5% Nederland 22-32","NL0.5_732",512384,87.105,"EUR",446852.5432,0.2692411714075,1
"19",2025-09-30,"RD30","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 25-35","NL2.5_735",158421,96.925,"EUR",154385.06425,0.0930213247726507,1
"20",2025-09-30,"RD30","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 12-33","NL2.5_133",504920,99.177,"EUR",509687.0684,0.307100732524757,1
"21",2025-09-30,"RD30","RD","Aandelen","ETF","Health Care","Xtrackers MSCI World Health Care","XDWH_GY",1101,44.6,"EUR",49104.6,0.0295868966769634,NA
"22",2025-09-30,"RD30","RD","Aandelen","ETF","None","iShares Core MSCI World","IWDA_NA",1558,107.22,"EUR",167048.76,0.100651556109506,NA
"23",2025-09-30,"RD30","RD","Aandelen","ETF","None","NT Wld SC Low Carbon Eq Index FGR Feeder B","NTSCLBE_NA",45,1298.0275,"EUR",58411.2375,0.035194406403597,1
"24",2025-09-30,"RD30","RD","Aandelen","ETF","None","SPDR S&P 500 UCITS ETF","SPY5_GY",277,565.96,"EUR",156770.92,0.0944588696780443,NA
"25",2025-09-30,"RD30","RD","Aandelen","ETF","Information Technology","SPDR MSCI World Tech ETF","WTCH_NA",516,184.44,"EUR",95171.04,0.0573432168700926,NA
"26",2025-09-30,"RD30","RM","Cash","CASH","Cash","Cash","CASH",22242.66,1,"EUR",22242.66,0.0134018255568893,NA
"27",2025-09-30,"RD50","RM","Obligaties","Staatsobligatie","Staatsobligaties","0,5% Nederland 22-32","NL0.5_732",667254,87.105,"EUR",581915.4167,0.217443038572379,1
"28",2025-09-30,"RD50","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 25-35","NL2.5_735",167598,96.925,"EUR",163328.2715,0.061030511686965,1
"29",2025-09-30,"RD50","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 12-33","NL2.5_133",505117,99.177,"EUR",509885.92709,0.190527939507921,1
"30",2025-09-30,"RD50","RD","Aandelen","ETF","Health Care","Xtrackers MSCI World Health Care","XDWH_GY",2567,44.6,"EUR",114488.2,0.0427805508743144,NA
"31",2025-09-30,"RD50","RD","Aandelen","ETF","None","iShares Core MSCI World","IWDA_NA",4132,107.22,"EUR",443033.04,0.165547169985397,NA
"32",2025-09-30,"RD50","RD","Aandelen","ETF","None","iShares STOXX Europe 600","SXXPIEX_GY",1353,55.28,"EUR",74793.84,0.0279480477219952,NA
"33",2025-09-30,"RD50","RD","Aandelen","ETF","None","NT Wld SC Low Carbon Eq Index FGR Feeder B","NTSCLBE_NA",119,1298.0275,"EUR",154465.2725,0.0577186945772672,1
"34",2025-09-30,"RD50","RD","Aandelen","ETF","None","SPDR S&P 500 UCITS ETF","SPY5_GY",684,565.96,"EUR",387116.64,0.14465301325214,NA
"35",2025-09-30,"RD50","RD","Aandelen","ETF","Information Technology","SPDR MSCI World Tech ETF","WTCH_NA",1152,184.44,"EUR",212474.88,0.0793950154981373,NA
"36",2025-09-30,"RD50","RM","Cash","CASH","Cash","Cash","CASH",34672.56,1,"EUR",34672.56,0.0129560183234842,NA
